IBXX - Carteira do Dia 16/11/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,193;
SULA11;SUL AMERICA;UNT     N2;284.059.601;0,301;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,893;
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,385;
VIVT3;TELEF BRASIL;ON;429.455.552;0,783;
TIMS3;TIM;ON      NM;808.436.195;0,494;
TOTS3;TOTVS;ON      NM;519.851.955;0,766;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,673;
USIM5;USIMINAS;PNA     N1;515.014.562;0,182;
VALE3;VALE;ON      NM;4.547.296.398;17,090;
VAMO3;VAMOS;ON      NM;314.797.346;0,197;
VIIA3;VIA;ON      NM;1.576.975.642;0,181;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,858;
WEGE3;WEG;ON      NM;1.481.593.024;2,718;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,166;
Quantidade Teórica Total;;;104.756.233.369;100,000
Redutor;;;46.168.879,04472482
