IBXX - Carteira do Dia 16/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,286;2,146;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;370.847.036;0,292;2,986;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,286;2,986;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.039.277;0,084;2,986;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;932.048.593;1,324;2,986;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,159;0,961;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.963.256;0,036;0,961;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,766;0,961;
Telecomunicação;VIVT3;TELEF BRASIL;ON;429.455.552;0,783;1,277;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,494;1,277;
Utilidade Públ / Água Saneamento;AMBP3;AMBIPAR;ON      NM;43.853.759;0,051;0,938;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,887;0,938;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;301.966.318;0,188;10,466;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,704;10,466;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,544;10,466;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,291;10,466;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;2.021.139.464;4,146;10,466;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279.941.393;0,618;10,466;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,243;10,466;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,521;10,466;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.577.960.668;0,930;10,466;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,475;10,466;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,421;10,466;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT EDJ N2;218.568.234;0,385;10,466;
Quantidade Teórica Total;;;;104.756.233.369;100,000;100,000
Redutor;;;;46.168.879,04472482
