IBOV - Carteira do Dia 16/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico / Comércio;SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,281;2,834;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;970.515.779;1,147;2,834;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,488;2,834;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;335.672.329;0,129;2,834;
Consumo Cíclico / Comércio;VIIA3;VIA;ON      NM;1.576.975.642;0,188;2,834;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;202.765.994;0,162;0,162;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;274.142.301;0,195;0,396;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;94.318.339;0,074;0,396;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;298.436.955;0,127;0,396;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;275.967.676;0,078;0,078;
Diversos;COGN3;COGNA ON;ON      NM;1.820.405.422;0,210;3,126;
Diversos;RENT3;LOCALIZA;ON      NM;893.978.241;2,743;3,126;
Diversos;YDUQ3;YDUQS PART;ON      NM;296.015.511;0,173;3,126;
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON      NM;828.273.884;0,338;0,821;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,189;0,821;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;268.145.328;0,294;0,821;
Financ e Outros / Interms Financs;BPAN4;BANCO PAN;PN      N1;341.549.703;0,117;17,302;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1.508.883.586;0,928;17,302;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5.156.077.326;3,668;17,302;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;1.420.731.069;2,427;17,302;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,489;17,302;
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EB  N1;5.209.666.310;2,188;17,302;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;6,003;17,302;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;355.642.848;0,482;17,302;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,977;1,398;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,108;1,398;
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;284.059.601;0,313;1,398;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.901.731.302;3,454;3,717;
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,263;3,717;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;274.863.424;0,121;2,858;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,768;2,858;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,969;2,858;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN  EDJ N1;251.025.058;0,317;18,292;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.550.596;0,197;18,292;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.547.296.398;17,778;18,292;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,387;0,387;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.111.956.242;1,628;2,658;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;686.077.578;0,427;2,658;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,414;2,658;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,189;2,658;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,409;14,401;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;0,974;14,401;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.684.384.823;3,974;14,401;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;5,936;14,401;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,516;14,401;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,700;14,401;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,892;14,401;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,895;2,233;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,338;2,233;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;370.847.036;0,304;3,108;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,338;3,108;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.039.277;0,088;3,108;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;932.048.593;1,378;3,108;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,165;1,000;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.963.256;0,038;1,000;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,797;1,000;
Telecomunicação;VIVT3;TELEF BRASIL;ON;429.455.552;0,815;1,329;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,514;1,329;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,922;0,922;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,733;9,458;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,566;9,458;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,302;9,458;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.447.696.333;3,089;9,458;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279.941.393;0,643;9,458;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,253;9,458;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,542;9,458;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.561.135.009;0,957;9,458;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,494;9,458;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,478;9,458;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT EDJ N2;218.568.234;0,401;9,458;
Quantidade Teórica Total;;;;101.053.551.382;100,000;100,000
Redutor;;;;18.831.436,47252379
