sector;ticker;name;type;amount;percentage;percentage_acum
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1442098974;0.7;10.494
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1563365506;0.525;10.494
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538;0.297;10.494
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;2021139464;4.175;10.494
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279941393;0.624;10.494
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246028184;0.24;10.494
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248477689;0.519;10.494
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1577960668;0.944;10.494
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255208461;0.475;10.494
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1100513485;1.42;10.494
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT EDJ N2;218568234;0.38;10.494
