IBOV - Carteira do Dia 21/11/22
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;5,951;14,327;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,413;14,327;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,698;14,327;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,934;14,327;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,875;2,229;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,354;2,229;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;370.847.036;0,310;2,925;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,235;2,925;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.039.277;0,081;2,925;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;932.048.593;1,299;2,925;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,151;0,935;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.963.256;0,035;0,935;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;519.851.955;0,749;0,935;
Telecomunicação;VIVT3;TELEF BRASIL;ON;429.455.552;0,811;1,317;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,506;1,317;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,916;0,916;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,728;9,471;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,546;9,471;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,309;9,471;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.447.696.333;3,111;9,471;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;279.941.393;0,649;9,471;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,249;9,471;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,540;9,471;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.561.135.009;0,972;9,471;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,494;9,471;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,478;9,471;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT EDJ N2;218.568.234;0,395;9,471;
Quantidade Teórica Total;;;;101.053.551.382;100,000;100,000
Redutor;;;;18.818.948,75015401
